Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
15-09-2025,20:30,15-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 519,61 EUR",,,,EUR,"10,33",
15-09-2025,20:30,15-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"519,61",EUR,"529,94",
15-09-2025,19:33,15-09-2025,ADR ON JD.COM INC CLASS A,US47215P1066,Ingreso Cambio de Divisa,"1,1737",USD,"607,50",USD,"0,00",fda177bc-4080-4525-862e-f10aadfb4a4f
15-09-2025,19:33,15-09-2025,ADR ON JD.COM INC CLASS A,US47215P1066,Retirada Cambio de Divisa,,EUR,"-517,61",EUR,"10,33",fda177bc-4080-4525-862e-f10aadfb4a4f
15-09-2025,19:33,15-09-2025,ADR ON JD.COM INC CLASS A,US47215P1066,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"527,94",fda177bc-4080-4525-862e-f10aadfb4a4f
15-09-2025,19:33,15-09-2025,ADR ON JD.COM INC CLASS A,US47215P1066,"Compra 18 ADR on JD.com Inc Class A@33,75 USD (US47215P1066)",,USD,"-607,50",USD,"-607,50",fda177bc-4080-4525-862e-f10aadfb4a4f
14-09-2025,03:09,14-09-2025,,,flatex Deposit,,EUR,"500,00",EUR,"529,94",
03-09-2025,14:20,03-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 8.199,6 EUR",,,,EUR,"29,94",
03-09-2025,14:20,03-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"8199,60",EUR,"8229,54",
03-09-2025,13:21,03-09-2025,ISHARES PHYSICAL GOLD ETC,IE00B4ND3602,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"29,94",51db7379-ba44-4988-8df0-8ffe619bbc62
03-09-2025,13:21,03-09-2025,ISHARES PHYSICAL GOLD ETC,IE00B4ND3602,"Compra 70 iShares Physical Gold ETC@59,16 EUR (IE00B4ND3602)",,EUR,"-4141,20",EUR,"32,94",51db7379-ba44-4988-8df0-8ffe619bbc62
03-09-2025,13:17,03-09-2025,ISHARES MSCI EM ASIA UCITS ETF USD (ACC),IE00B5L8K969,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"4174,14",39460fc0-0a57-4d61-90da-4a3118c388b6
03-09-2025,13:17,03-09-2025,ISHARES MSCI EM ASIA UCITS ETF USD (ACC),IE00B5L8K969,"Compra 22 iShares MSCI EM Asia UCITS ETF USD (Acc)@184,2 EUR (IE00B5L8K969)",,EUR,"-4052,40",EUR,"4177,14",39460fc0-0a57-4d61-90da-4a3118c388b6
01-09-2025,17:11,01-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 2,5 EUR",,,,EUR,"8229,54",
01-09-2025,17:11,01-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"2,50",EUR,"8232,04",
01-09-2025,15:58,31-08-2025,,,Comisión de conectividad con el mercado 2025 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"8229,54",
18-08-2025,22:50,18-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 800,93 EUR",,,,EUR,"8232,04",
18-08-2025,22:50,18-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"800,93",EUR,"9032,97",
18-08-2025,21:40,18-08-2025,UNITEDHEALTH GROUP INC,US91324P1021,Ingreso Cambio de Divisa,"1,1640",USD,"929,94",USD,"0,00",395fa2f8-6133-4c0e-b16c-9184cee37220
18-08-2025,21:40,18-08-2025,UNITEDHEALTH GROUP INC,US91324P1021,Retirada Cambio de Divisa,,EUR,"-798,93",EUR,"8232,04",395fa2f8-6133-4c0e-b16c-9184cee37220
18-08-2025,21:40,18-08-2025,UNITEDHEALTH GROUP INC,US91324P1021,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"9030,97",395fa2f8-6133-4c0e-b16c-9184cee37220
18-08-2025,21:40,18-08-2025,UNITEDHEALTH GROUP INC,US91324P1021,"Compra 3 UnitedHealth Group Inc@309,98 USD (US91324P1021)",,USD,"-929,94",USD,"-929,94",395fa2f8-6133-4c0e-b16c-9184cee37220
14-08-2025,17:20,14-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 5.996,55 EUR",,,,EUR,"9032,97",
14-08-2025,17:20,14-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"5996,55",EUR,"15029,52",
14-08-2025,16:24,14-08-2025,ISHARES MSCI WORLD SMALL CAP UCITS,IE00BF4RFH31,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"9032,97",235e1b47-936a-429a-900a-25f2f6901299
14-08-2025,16:24,14-08-2025,ISHARES MSCI WORLD SMALL CAP UCITS,IE00BF4RFH31,"Compra 828 iShares MSCI World Small Cap UCITS ETF USD (Acc)@7,241 EUR (IE00BF4RFH31)",,EUR,"-5995,55",EUR,"9033,97",235e1b47-936a-429a-900a-25f2f6901299
11-08-2025,11:00,11-08-2025,,,flatex Deposit,,EUR,"15000,00",EUR,"15029,52",
08-08-2025,00:50,07-08-2025,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1 EUR,,,,EUR,"29,52",
08-08-2025,00:50,07-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,00",EUR,"28,52",
07-08-2025,23:38,06-08-2025,,,Ingreso,,EUR,"1,00",EUR,"29,52",
01-08-2025,17:56,01-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 2,5 EUR",,,,EUR,"28,52",
01-08-2025,17:56,01-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"2,50",EUR,"31,02",
01-08-2025,14:07,31-07-2025,,,Comisión de conectividad con el mercado 2025 (Xetra - XET),,EUR,"-2,50",EUR,"28,52",
01-08-2025,11:43,01-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.466,25 EUR",,,,EUR,"31,02",
01-08-2025,11:43,01-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"1466,25",EUR,"1497,27",
01-08-2025,11:13,01-08-2025,,,Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 326 EUR,,,,EUR,"31,02",
01-08-2025,11:13,01-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"326,00",EUR,"357,02",
01-08-2025,10:11,01-08-2025,ISHARES S&P 500 INFO TECHNOLG SCTR,IE00B3WJKG14,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"31,02",3fab80b0-8260-4962-be6f-bc6c79f0f395
01-08-2025,10:11,01-08-2025,ISHARES S&P 500 INFO TECHNOLG SCTR,IE00B3WJKG14,"Compra 34 iShares S&P 500 Info Technolg Sctr UCITS ETF USD A@33,35 EUR (IE00B3WJKG14)",,EUR,"-1133,90",EUR,"32,02",3fab80b0-8260-4962-be6f-bc6c79f0f395
01-08-2025,10:03,01-08-2025,NUEVA EXPRESION TEXTIL SA,ES0126962069,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1165,92",476485af-15c1-4a1b-a162-b51e896d62da
